SKU,Title,CreatedAt,Category,Subcategory,PriceHUF
"DISVB70","Mufa rapida T cupru 14","2026-08-07T02:02:50.942Z","Accesorii agricole","Furtunuri","1090"
"DISVA89","Mufa rapida T plastic si surub metalic fi 10x10 cu M16","2026-08-07T02:02:50.943Z","Accesorii agricole","Furtunuri","183"
"BK90507","Vizor manson pentru aparat de muls Breckner Germany","2026-08-07T02:02:50.955Z","Zootehnie","Mulgatoare","328"
"DISMS74","Levier dulgher 600x17mm","2026-08-07T02:02:50.992Z","Casa si gradina","Scule si unelte","1449"
"BK56573","Lance spumare cu rezervor 1L pentru aparat de spalat cu presiune Breckner Germany","2026-08-07T02:02:51.002Z","Casa si gradina","Aparate de spalat cu presiune","4490"
"BK76382","Trusa pompa tester presiune si vacuum pentru aerisire frane, testare ABS, EGR, AC si sistem incalzire auto","2026-08-07T02:02:51.007Z","Casa si gradina","Scule si unelte","5290"
"DISSW94","Lance spumare cu rezervor 1L pentru aparat de spalat cu presiune Breckner Germany","2026-08-07T02:02:51.009Z","Casa si gradina","Aparate de spalat cu presiune","4490"
"DISVY74","Senzor presiune ulei motor John Deere, Caterpillar, Bobcat, Case IH, Claas cod OEM 7W1238, 6005013427, AR27977, AT85174, RE515669, 1606877, 2537910, 2848062","2026-08-07T02:02:51.013Z","Piese tractoare straine","John Deere","2349"
"BK00337","Set 5 burghie lemn 4-10mm elicoidale HCS cu tija cilindrica Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","724"
"DISRS86","Set 5 burghie lemn 3-10mm elicoidale HCS cu tija cilindrica Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","1049"
"DISVY80","Senzor presiune ulei Fendt, Claas, Deutz-Fahr, Atlas cod OEM 01182792","2026-08-07T02:02:51.014Z","Piese tractoare straine","Fendt","2549"
"DISVY81","Senzor presiune ulei motor Deutz cod OEM 04190850","2026-08-07T02:02:51.014Z","Piese tractoare straine","Deutz","10049"
"BK90039","Trusa chei tubulare de impact lungi 17mm, 19mm, 21mm, patrat 1/2 inch Cr-Mo 3 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","1990"
"BK90043","Trusa chei tubulare prezoane roti de impact cu protectie janta 17-27mm, patrat 1/2 inch Cr-V 7 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","7690"
"BK90046","Trusa chei tubulare de impact scurte 10-24mm, patrat 1/2 inch Cr-Mo 10 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","3390"
"BK90047","Trusa chei tubulare 10-24mm cu prelungitor tip L 250mm, patrat 1/2 inch Cr-Mo 10 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","3390"
"BK90048","Trusa chei tubulare de impact lungi 10-24mm, patrat 1/2 inch Cr-Mo 10 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","5290"
"BK90049","Trusa chei tubulare de impact lungi 10-32mm, patrat 1/2 inch Cr-Mo 13 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","9090"
"BK90050","Trusa chei tubulare lungi 8-24mm, antrenor cu clichet 1/2 inch Cr-V 14 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","8290"
"BK90051","Trusa chei tubulare de impact lungi 10-32mm, patrat 1/2 inch Cr-Mo 15 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","9849"
"BK90052","Trusa chei tubulare de impact lungi 10-32mm, patrat 1/2 inch Cr-Mo 16 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","10749"
"DISVZ07","Senzor presiune ulei Fendt, Deutz cod OEM 04190809","2026-08-07T02:02:51.014Z","Piese tractoare straine","Fendt","3049"
"BK90053","Trusa chei tubulare de impact scurte 8-32mm, patrat 1/2 inch Cr-Mo 20 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","7449"
"BK90055","Trusa chei tubulare lungi 8-32mm, antrenor cu clichet, prelungitor 127mm, bara T, cardan 1/2 inch Cr-Mo 23 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","15949"
"BK90056","Trusa chei tubulare de impact 8-32mm si lungi 10-32mm, patrat 1/2 inch Cr-Mo 35 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","17349"
"BK90057","Trusa chei tubulare 8-32mm si chei combinate fixe-inelare 6-19mm, antrenor cu clichet, prelungitor T 250mm, cardan 1/2 inch Cr-V 37 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","17790"
"BK90058","Trusa chei tubulare camion de impact 17-65mm, antrenor cu clichet, prelungitoare 200 si 500mm, tip L 200mm, bara T, adaptor 3/4-1 inch Cr-Mo 26 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","45690"
"BK90063","Trusa chei tubulare biti Ribe RT7-RT18, patrat 1/2 inch Cr-Mo 8 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","4290"
"BK90068","Trusa chei tubulare de impact lungi 10-24mm, patrat 1/2 inch Cr-Mo 10 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","5849"
"BK90071","Trusa chei tubulare camion de impact lungi 17-65mm, prelungitor 125mm, patrat 3/4 inch Cr-Mo 15 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","27790"
"BK90073","Trusa chei tubulare camion de impact lungi 22-60mm, patrat 1 inch Cr-Mo 15 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","27349"
"BK90074","Trusa chei tubulare camion de impact scurte 22-36mm si lungi 38-60mm, patrat 1 inch Cr-Mo 15 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","34690"
"BK90075","Trusa chei tubulare camion de impact lungi 22-60mm, patrat 3/4 inch Cr-Mo 15 piese Breckner Germany","2026-08-07T02:02:51.014Z","Casa si gradina","Scule si unelte","25949"
