SKU,Title,CreatedAt,Category,Subcategory,PriceHUF
"BK92398","Cablu/sufa elastica impletita 4m cu carlige metalice pentru remorcare 2T","2026-08-04T12:17:23.803Z","Accesorii agricole","Chingi, cabluri si coliere","1990"
"BK92399","Cablu/sufa elastica impletita 4m cu carlige metalice pentru remorcare 2T","2026-08-04T12:17:23.803Z","Accesorii agricole","Chingi, cabluri si coliere","1349"
"DISLA47","Mufa rapida dreapta plastic 6mm","2026-08-04T12:17:23.808Z","Accesorii agricole","Furtunuri","45"
"DISLA48","Mufa rapida dreapta plastic 8mm","2026-08-04T12:17:23.808Z","Accesorii agricole","Furtunuri","45"
"DISLA49","Mufa rapida dreapta plastic 10mm","2026-08-04T12:17:23.808Z","Accesorii agricole","Furtunuri","76"
"DISLA50","Mufa rapida dreapta plastic 12mm","2026-08-04T12:17:23.808Z","Accesorii agricole","Furtunuri","98"
