SKU,Title,CreatedAt,Category,Subcategory,PriceHUF
"DISVA11","Mufa rapida T reductie plastic 6x8x6mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","106"
"DISVA12","Mufa rapida T reductie plastic 8x6x8mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","89"
"DISVA13","Mufa rapida T reductie plastic 12x10x12mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","154"
"DISVA14","Mufa rapida T reductie plastic 8x10x8mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","133"
"DISVA15","Mufa rapida T reductie plastic 10x8x10mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","121"
"DISVA16","Mufa rapida T reductie plastic 10x12x10mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","142"
"DISVA17","Mufa rapida T reductie plastic 4x6x4mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","88"
"DISVA18","Mufa rapida T reductie plastic 6x4x6mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","88"
"DISVA01","Mufa rapida cot plastic 4mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","50"
"DISLA55","Mufa rapida cot plastic 6mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","53"
"DISLA56","Mufa rapida cot plastic 8mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","83"
"DISLA57","Mufa rapida cot plastic 10mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","83"
"DISLA58","Mufa rapida cot plastic 12mm","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","98"
"DISLA59","Mufa rapida cot furtun M14 - plastic","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","113"
"DISLA60","Mufa rapida cot furtun M16 - plastic","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","225"
"DISVB10","Mufa rapida dreapta metalica 6mm filet exterior 1/4 inch","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","348"
"DISVB11","Mufa rapida dreapta metalica 6mm filet exterior 1/8","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","295"
"DISVB12","Mufa rapida dreapta metalica 6mm filet exterior 1/2","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","549"
"DISVB13","Mufa rapida dreapta metalica 6mm filet exterior M6","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","245"
"DISVB14","Mufa rapida dreapta metalica 6mm filet exterior M8","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","323"
"DISVB15","Mufa rapida dreapta metalica 6mm filet exterior M12","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","266"
"DISVB16","Mufa rapida dreapta metalica 6mm filet exterior M14","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","370"
"DISVB17","Mufa rapida dreapta metalica 6mm filet exterior M16","2026-08-04T09:05:49.303Z","Accesorii agricole","Furtunuri","369"
"DISVB18","Mufa rapida dreapta din metal si surub metalic fi 6 cu M22","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","382"
"DISVB19","Mufa rapida dreapta metalica 8mm filet exterior 1/4","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","385"
"DISVB20","Mufa rapida dreapta metalica 8mm filet exterior 1/8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","381"
"DISVB21","Mufa rapida dreapta metalica 8mm filet exterior 1/2","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","801"
"DISVB22","Mufa rapida dreapta din metal si surub metalic fi 8 cu M6","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","319"
"DISVB23","Mufa rapida dreapta metalica 8mm filet exterior M8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","308"
"DISVB24","Mufa rapida dreapta metalica 8mm filet exterior M12","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","408"
"DISVB26","Mufa rapida dreapta metalica 8mm filet exterior M16","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","475"
"DISVB28","Mufa rapida dreapta metalica 10mm filet exterior 1/4","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","647"
"DISVB29","Mufa rapida dreapta metalica 10mm filet exterior 1/8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","571"
"DISVB30","Mufa rapida dreapta metalica 10mm filet exterior 1/2","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","565"
"DISVB31","Mufa rapida dreapta din metal si surub metalic fi 10 cu M6","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","559"
"DISVB32","Mufa rapida dreapta din metal si surub metalic fi 10 cu M8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","558"
"DISVB33","Mufa rapida dreapta metalica 10mm filet exterior M12","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","520"
"DISVB34","Mufa rapida dreapta metalica 10mm filet exterior M14","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","582"
"DISVB35","Mufa rapida dreapta metalica 10mm filet exterior M16","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","588"
"DISVB36","Mufa rapida dreapta din metal si surub metalic fi 10 cu M22","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","612"
"DISVB37","Mufa rapida dreapta din metal si surub metalic fi 12 cu 1/4","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","849"
"DISVB38","Mufa rapida dreapta din metal si surub metalic fi 12 cu 1/8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","778"
"DISVB39","Mufa rapida dreapta metalica 12mm filet exterior 1/2","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","774"
"DISVB40","Mufa rapida dreapta din metal si surub metalic fi 12 cu M6","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","877"
"DISVB41","Mufa rapida dreapta din metal si surub metalic fi 12 cu M8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","886"
"DISVB42","Mufa rapida dreapta din metal si surub metalic fi 12 cu M12","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","890"
"DISVB43","Mufa rapida dreapta din metal si surub metalic fi 12 cu M14","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","762"
"DISVB44","Mufa rapida dreapta din metal si surub metalic fi 12 cu M16","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1049"
"DISVB45","Mufa rapida dreapta din metal si surub metalic fi 12 cu M22","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","979"
"DISVB46","Mufa rapida dreapta din metal si surub metalic fi 14 cu 1/4","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1090"
"DISVB47","Mufa rapida dreapta din metal si surub metalic fi 14 cu 1/8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","793"
"DISVB48","Mufa rapida dreapta din metal si surub metalic fi 14 cu 1/2","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1190"
"DISVB50","Mufa rapida dreapta din metal si surub metalic fi 14 cu M8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","831"
"DISVB51","Mufa rapida dreapta din metal si surub metalic fi 14 cu M12","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","831"
"DISVB52","Mufa rapida dreapta din metal si surub metalic fi 14 cu M14","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1190"
"DISVB53","Mufa rapida dreapta din metal si surub metalic fi 14 cu M16","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","775"
"DISVB54","Mufa rapida dreapta din metal si surub metalic fi 14 cu M22","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1290"
"DISLA65","Mufa rapida dreapta furtun M4 - cupru","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","181"
"DISLA66","Mufa rapida dreapta cupru 6mm","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","280"
"DISLA67","Mufa rapida dreapta cupru 8mm","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","292"
"DISLA68","Mufa rapida dreapta cupru 10mm","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","450"
"DISLA69","Mufa rapida dreapta cupru 12mm","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","446"
"DISPA49","Mufa rapida dreapta furtun M14 - cupru","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","509"
"DISLA70","Mufa rapida dreapta cupru 16mm","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","540"
"DISVB64","Mufa rapida T cupru 4","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","731"
"DISVB66","Mufa rapida T cupru 6","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1090"
"DISVB67","Mufa rapida T cupru 8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1249"
"DISVB68","Mufa rapida T cupru 10","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1449"
"DISVB69","Mufa rapida T cupru 12","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1690"
"DISVB70","Mufa rapida T cupru 14","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1090"
"DISVB72","Mufa rapida - reductie M22*1.5-M6","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","375"
"DISVB73","Mufa rapida - reductie M22*1.5-M8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","623"
"DISVB74","Mufa rapida - reductie M22*1.5-M10","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","803"
"DISVB75","Mufa rapida dreapta metalica 12mm filet exterior M22","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","1090"
"DISVA19","Mufa rapida cot plastic 6mm filet exterior alama 1/4","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","174"
"DISVA21","Mufa rapida cot plastic 6mm filet exterior alama 1/2","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","249"
"DISVA37","Mufa rapida cot plastic 10mm filet exterior alama 1/4","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","209"
"DISVA38","Mufa rapida cot plastic 10mm filet exterior alama 1/8","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","231"
"DISVA39","Mufa rapida cot plastic 10mm filet exterior alama 1/2","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","298"
"DISVA42","Mufa rapida cot plastic 10mm filet exterior alama M12","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","196"
"DISVB27","Mufa rapida cot plastic si surub metalic fi 8 cu M22","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","577"
"DISLA46","Mufa rapida dreapta plastic 4mm","2026-08-04T09:05:49.304Z","Accesorii agricole","Furtunuri","45"
"DISBY45","Supapa adapatoare 1/2 BSP Breckner Germany","2026-08-04T09:05:49.305Z","Zootehnie","Adapatori animale","1249"
"DISVA44","Mufa rapida cot plastic 10mm filet exterior alama M16","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","231"
"DISVA46","Mufa rapida cot plastic 12mm filet exterior alama 1/4","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","203"
"DISVA47","Mufa rapida cot plastic si surub metalic fi 12 cu 1/8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","201"
"DISVA48","Mufa rapida cot plastic si surub metalic fi 12 cu 1/2","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","299"
"DISVA51","Mufa rapida cot plastic si surub metalic fi 12 cu M12","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","204"
"DISVA53","Mufa rapida cot plastic 12mm filet exterior alama M16","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","280"
"DISVA57","Mufa rapida cot plastic si surub metalic fi 14 cu 1/2","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","396"
"DISVA69","Mufa rapida T plastic si surub metalic fi 6x6 cu M12","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","166"
"DISVA71","Mufa rapida T plastic si surub metalic fi 6x6 cu M16","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","177"
"DISVA78","Mufa rapida T plastic amp surub metalic fi 8x8 cu M12","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","127"
"DISVA82","Mufa rapida T plastic si surub metalic fi 10x10 cu 1/4","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","260"
"DISVA89","Mufa rapida T plastic si surub metalic fi 10x10 cu M16","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","183"
"DISVA91","Mufa rapida T plastic si surub metalic fi 12x12 cu 1/4","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","284"
"DISVA92","Mufa rapida T plastic si surub metalic fi 12x12 cu 1/8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","215"
"DISVA98","Mufa rapida T plastic si surub metalic fi 12x12 cu M16","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","215"
"DISVB49","Mufa rapida dreapta din metal si surub metalic fi 6 cu 1/4","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","886"
"disva96","Mufa rapida T plastic si surub metalic fi 12x12 cu M12","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","215"
"disva87","Mufa rapida T plastic si surub metalic fi 10x10 cu M12","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","183"
"disva84","Mufa rapida T plastic si surub metalic fi 10x10 cu 1/2","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","322"
"disva83","Mufa rapida T plastic si surub metalic fi 10x10 cu 1/8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","239"
"disva80","Mufa rapida T plastic si surub metalic fi 8x8 cu M16","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","166"
"disva77","Mufa rapida T plastic si surub metalic fi 8x8 cu M8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","119"
"disva75","Mufa rapida T plastic si surub metalic fi 8x8 cu 1/2","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","255"
"disva74","Mufa rapida T plastic si surub metalic fi 8x8 cu 1/8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","157"
"disva73","Mufa rapida T plastic si surub metalic fi 8x8 cu 1/4","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","301"
"disva68","Mufa rapida T plastic si surub metalic fi 6x6 cu M8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","103"
"disva67","Mufa rapida T plastic si surub metalic fi 6x6 cu M6","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","119"
"disva66","Mufa rapida T plastic si surub metalic fi 6x6 cu 1/2","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","271"
"disva65","Mufa rapida T plastic si surub metalic fi 6x6 cu 1/8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","128"
"disva64","Mufa rapida T plastic si surub metalic fi 6x6 cu 1/4","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","316"
"disva33","Mufa rapida cot plastic 8mm filet exterior alama M12","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","189"
"disva32","Mufa rapida cot plastic 8mm filet exterior alama M8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","181"
"disva30","Mufa rapida cot plastic 8mm filet exterior alama 1/2","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","295"
"DISVA29","Mufa rapida cot plastic 8mm filet exterior alama 1/8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","159"
"DISVA28","Mufa rapida cot plastic 8mm filet exterior alama 1/4","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","166"
"disva26","Mufa rapida cot plastic 6mm filet exterior alama M16","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","150"
"disva24","Mufa rapida cot plastic 6mm filet exterior alama M12","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","181"
"disva23","Mufa rapida cot plastic 6mm filet exterior alama M8","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","150"
"disva22","Mufa rapida cot plastic 6mm filet exterior alama M6","2026-08-04T09:05:49.305Z","Accesorii agricole","Furtunuri","135"
"DISVA20","Mufa rapida cot plastic 6mm filet exterior alama 1/8","2026-08-04T09:05:49.306Z","Accesorii agricole","Furtunuri","135"
"DISVB55","Furtun nylon fi 04 pentru instalatie strop-gel Dacia Logan,  30 metri","2026-08-04T09:05:49.306Z","Accesorii agricole","Furtunuri","2549"
"DISVB56","Furtun nylon 30m pentru apa si aer interior fi 6mm exterior fi 8mm pentru mufa rapida","2026-08-04T09:05:49.306Z","Accesorii agricole","Furtunuri","1690"
"DISVB57","Furtun 30m nylon pentru apa si aer interior fi 8mm exterior fi 10mm pentru mufa rapida","2026-08-04T09:05:49.306Z","Accesorii agricole","Furtunuri","2690"
"DISVB59","Furtun nylon pentru apa si aer interior fi 12mm exterior fi 14mm 30m pentru mufa rapida","2026-08-04T09:05:49.306Z","Accesorii agricole","Furtunuri","5290"
"BK87666","Set maner poarta cu arc si izolatori gard electric Breckner Germany","2026-08-04T09:05:49.306Z","Zootehnie","Gard electric","2249"
"BK87669","Maner poarta negru cu carlig si arc gard electric Breckner Germany","2026-08-04T09:05:49.306Z","Zootehnie","Gard electric","554"
"BK87670","Maner poarta negru cu carlig si arc gard electric Breckner Germany","2026-08-04T09:05:49.306Z","Zootehnie","Gard electric","651"
"BK87695","Set maner poarta cu arc si izolatori gard electric Breckner Germany","2026-08-04T09:05:49.306Z","Zootehnie","Gard electric","1790"
"DISBG27","Filtru ulei tractor Konig 45CP, 50CP, Jinma 80CP cod OEM JX85100CD","2026-08-04T09:05:49.306Z","Piese tractoare straine","Konig Traktoren","3049"
"DISBG28","Filtru ulei tractor Konig 45CP, 50CP. Jinma 80CP","2026-08-04T09:05:49.306Z","Piese tractoare straine","Konig Traktoren","2449"
"DISBG32","Filtru motorina tractor Konig 25CP, 45CP, 50CP, Jinma 70CP","2026-08-04T09:05:49.306Z","Piese tractoare straine","Konig Traktoren","444"
"DISBG33","Filtru motorina tractor Konig 25CP, 35CP, 45CP, 50CP Jinma 70CP","2026-08-04T09:05:49.306Z","Piese tractoare straine","Konig Traktoren","2390"
